# ID	Type	RA	Decl	I	V	V_I	P	T0	A	Ecc	Incl	Peri	Model	Var	ID_OGLE_II	ID_OGLE_III	ID_OGLE_IV	ID_OTHER
OGLE-LMC-HB-0117	RG	05:10:26.62	-70:24:39.4	15.661	17.080	1.419	645.46000000	9137.8000	0.043	0.5890	61.00	116.40	1	-99.99	-99.99	LMC113.6.17204	LMC509.01.292	-99.99
OGLE-LMC-HB-0118	RG	05:10:26.90	-69:04:39.6	13.929	15.091	1.162	303.85400000	9173.8000	0.049	0.1216	59.10	57.00	1	-99.99	LMC_SC10_40305	LMC111.5.11102	LMC510.01.56739	MACHO 79.4898.21
OGLE-LMC-HB-0119	RG	05:10:28.56	-67:14:12.8	14.410	15.909	1.499	856.73000000	9309.6000	0.024	0.5190	58.90	52.10	1	-99.99	-99.99	LMC108.5.22	LMC511.19.18240	-99.99
OGLE-LMC-HB-0120	RG	05:10:37.37	-69:03:13.1	13.176	14.801	1.625	647.43000000	9269.5000	0.058	0.1474	89.20	115.50	1	-99.99	LMC_SC10_114314	LMC111.5.11109	LMC510.01.56670	2MASS J05103732-6903127
OGLE-LMC-HB-0121	RG	05:10:46.88	-69:51:51.0	16.127	17.605	1.478	257.81900000	9002.0000	0.030	0.3860	76.00	103.70	1	-99.99	-99.99	LMC112.7.62159	LMC509.18.331	-99.99
OGLE-LMC-HB-0122	MS	05:10:47.57	-70:10:46.6	14.799	15.025	0.226	259.47800000	9145.8200	0.097	0.4055	65.20	56.80	1	-99.99	-99.99	LMC113.5.57837	LMC509.09.96	UCAC2 1555512
OGLE-LMC-HB-0123	RG	05:10:48.90	-67:55:14.5	15.506	17.054	1.548	233.58900000	9016.9000	0.082	0.3551	89.90	57.70	0	ECL	-99.99	LMC109.6.24766	LMC511.01.24673	OGLE-LMC-ECL-09305
OGLE-LMC-HB-0124	RG	05:11:00.96	-69:14:25.0	15.601	17.022	1.421	282.86000000	9166.7000	0.025	0.1910	69.00	47.50	1	-99.99	LMC_SC10_100669	LMC111.6.19813	LMC510.01.615	-99.99
OGLE-LMC-HB-0125	RG	05:11:15.65	-69:28:09.8	14.604	16.291	1.687	487.57000000	9315.6000	0.028	0.1110	89.50	45.50	1	-99.99	LMC_SC10_81884	LMC111.8.52586	LMC503.16.63783	-99.99
OGLE-LMC-HB-0126	RG	05:11:25.41	-68:41:47.1	15.900	17.242	1.342	172.53900000	9104.3000	0.035	0.2137	54.50	34.80	1	-99.99	LMC_SC10_212785	LMC110.7.60646	LMC510.09.55343	-99.99
OGLE-LMC-HB-0127	RG	05:11:33.19	-71:33:09.8	16.240	17.574	1.334	187.90500000	9075.8000	0.054	0.2950	77.90	78.20	1	-99.99	-99.99	-99.99	LMC501.25.4944	OGLE-LMC-ECL-30351
OGLE-LMC-HB-0128	RG	05:11:34.76	-69:03:58.1	13.552	15.296	1.744	924.73000000	9875.7000	0.060	0.4752	53.20	139.90	1	OSARG	LMC_SC10_185850	LMC111.5.22540	LMC503.25.86843	-99.99
OGLE-LMC-HB-0129	RG	05:11:37.46	-68:48:46.2	15.410	17.139	1.729	447.83000000	9187.7000	0.028	0.1870	87.90	131.70	1	-99.99	LMC_SC10_203846	LMC110.8.64824	LMC510.09.54673	-99.99
OGLE-LMC-HB-0130	RG	05:11:50.21	-71:31:15.6	15.542	17.219	1.677	431.59000000	9181.2000	0.033	0.1730	65.00	117.80	1	-99.99	-99.99	-99.99	LMC501.25.8028	OGLE-LMC-ECL-30428
OGLE-LMC-HB-0131	RG	05:12:00.13	-69:08:38.2	14.416	16.363	1.947	643.54000000	9303.5000	0.038	0.2839	55.10	17.60	1	OSARG	-99.99	LMC111.6.76127	LMC503.25.75602	-99.99
OGLE-LMC-HB-0132	RG	05:12:02.27	-67:14:56.8	16.239	17.791	1.552	259.49000000	9045.0000	0.029	0.2180	72.60	18.80	1	-99.99	-99.99	LMC108.5.16768	LMC511.18.17457	-99.99
OGLE-LMC-HB-0133	RG	05:12:12.75	-69:34:46.9	15.354	16.981	1.627	304.57500000	9073.9000	0.045	0.1233	49.60	130.10	1	OSARG	LMC_SC10_217475	LMC112.5.87740	LMC503.16.30	-99.99
OGLE-LMC-HB-0134	RG	05:12:14.34	-69:31:54.4	15.884	17.337	1.453	221.54000000	9059.8000	0.024	0.1760	56.80	20.50	1	-99.99	LMC_SC10_221385	LMC111.8.27803	LMC503.16.158	-99.99
OGLE-LMC-HB-0135	RG	05:12:18.35	-69:17:04.3	15.242	17.266	2.024	439.41700000	9358.0000	0.120	0.1303	61.80	155.40	1	OSARG/ECL	LMC_SC10_240320	LMC111.7.70555	LMC503.25.51	2MASS J05121835-6917042
OGLE-LMC-HB-0136	RG	05:12:26.34	-68:46:07.5	15.296	16.753	1.457	565.75000000	9435.2000	0.033	0.3460	73.90	40.70	1	-99.99	LMC_SC10_283196	LMC110.7.32072	LMC510.08.56268	-99.99
OGLE-LMC-HB-0137	RG	05:12:29.48	-69:22:08.7	15.817	17.396	1.579	237.04500000	9152.9000	0.057	0.2515	42.52	151.10	1	-99.99	LMC_SC10_235359	LMC111.7.32270	LMC503.16.25822	-99.99
OGLE-LMC-HB-0138	RG	05:12:45.69	-70:57:11.9	15.681	17.086	1.405	221.02000000	9185.8000	0.022	0.2630	45.40	32.00	1	-99.99	-99.99	LMC114.3.123	LMC502.07.27387	-99.99
OGLE-LMC-HB-0139	RG	05:12:47.39	-72:19:16.6	15.379	16.970	1.591	536.84000000	9069.7000	0.046	0.4230	88.30	172.00	1	-99.99	-99.99	-99.99	LMC501.07.24	-99.99
OGLE-LMC-HB-0140	RG	05:12:51.56	-69:10:23.0	16.526	17.623	1.097	136.39400000	9018.8000	0.028	0.2110	52.10	15.40	1	-99.99	LMC_SC9_52007	LMC111.3.253	LMC503.25.12732	-99.99
OGLE-LMC-HB-0141	RG	05:12:56.01	-68:25:00.4	15.068	16.814	1.746	469.12000000	9086.6000	0.070	0.2899	55.40	41.50	1	OSARG	-99.99	LMC110.4.24543	LMC510.17.45853	-99.99
OGLE-LMC-HB-0142	RG	05:12:59.53	-70:42:45.1	16.016	17.461	1.445	276.30300000	9101.9000	0.050	0.2127	58.50	175.00	1	-99.99	-99.99	LMC113.1.37	LMC502.15.27830	-99.99
OGLE-LMC-HB-0143	RG	05:13:06.52	-69:38:56.5	16.341	18.035	1.694	225.08500000	9019.9000	0.058	0.3056	67.60	71.20	1	-99.99	-99.99	LMC112.4.123	LMC503.07.79142	OGLE-LMC-ECL-10158
OGLE-LMC-HB-0144	RG	05:13:24.59	-70:56:17.9	16.043	17.495	1.452	363.17000000	9318.4000	0.033	0.3700	81.80	135.20	1	-99.99	-99.99	LMC114.3.158	LMC502.07.8773	-99.99
OGLE-LMC-HB-0145	RG	05:13:32.18	-68:41:48.3	15.520	17.219	1.699	495.51000000	9380.1000	0.056	0.2870	75.00	40.50	1	-99.99	-99.99	LMC110.2.36230	LMC503.32.69604	-99.99
OGLE-LMC-HB-0146	RG	05:13:33.00	-68:56:19.7	16.584	18.079	1.495	180.04800000	9107.1000	0.036	0.2810	41.10	178.70	1	-99.99	LMC_SC9_171994	LMC110.1.312	LMC503.32.40864	-99.99
OGLE-LMC-HB-0147	RG	05:13:42.49	-68:57:06.2	16.688	17.981	1.293	204.86200000	9028.0000	0.023	0.1380	51.80	179.80	0	ECL	LMC_SC9_166100	LMC110.1.10688	LMC503.32.40832	-99.99
OGLE-LMC-HB-0148	RG	05:13:44.31	-71:39:29.7	16.636	17.928	1.292	186.24500000	9014.5000	0.038	0.2800	54.50	56.90	1	-99.99	-99.99	-99.99	LMC501.24.2342	OGLE-LMC-ECL-30750
OGLE-LMC-HB-0149	RG	05:13:47.62	-69:30:49.5	15.592	17.145	1.553	306.27000000	9269.3000	0.029	0.1022	48.30	60.20	1	-99.99	LMC_SC9_109459	LMC111.1.9860	LMC503.15.12706	-99.99
OGLE-LMC-HB-0150	RG	05:13:52.90	-69:47:27.0	15.913	17.172	1.259	180.00900000	9074.7700	0.059	0.2925	77.70	158.20	1	-99.99	-99.99	LMC112.3.12737	LMC503.07.10072	EROS2-star lm009-4m-6298
OGLE-LMC-HB-0151	RG	05:14:04.85	-69:06:44.2	14.940	16.638	1.698	368.29200000	9028.3600	0.148	0.2746	72.30	69.38	1	TEO	LMC_SC9_250295	LMC111.3.61154	LMC503.24.28329	2MASS J05140485-6906441
OGLE-LMC-HB-0152	RG	05:14:41.04	-70:16:43.8	13.635	15.435	1.800	593.20000000	9492.1000	0.044	0.1517	54.50	147.60	1	TEO	-99.99	LMC113.3.55987	LMC502.23.47959	2MASS J05144103-7016437
OGLE-LMC-HB-0153	RG	05:14:42.20	-71:12:12.2	14.707	16.264	1.557	360.10000000	9259.2000	0.029	0.2420	32.70	123.40	1	-99.99	-99.99	LMC114.1.10850	LMC501.31.24834	EROS2-star lm056-5m-9582
OGLE-LMC-HB-0154	MS	05:14:44.32	-69:07:33.4	16.723	17.068	0.345	11.07484400	9002.3960	0.191	0.1229	89.90	68.70	0	ECL	-99.99	LMC111.3.73023	LMC503.23.91397	OGLE-LMC-ECL-10834
OGLE-LMC-HB-0155	RG	05:14:49.91	-68:58:58.0	15.566	17.149	1.583	322.17000000	9059.3000	0.060	0.2609	64.30	149.70	1	-99.99	LMC_SC9_372309	LMC111.4.66666	-99.99	-99.99
OGLE-LMC-HB-0156	RG	05:14:50.39	-68:45:18.5	16.013	17.495	1.482	249.35500000	9160.4000	0.045	0.2863	62.10	24.90	1	-99.99	-99.99	LMC110.2.18888	LMC503.31.66290	-99.99
OGLE-LMC-HB-0157	MS	05:14:50.62	-69:05:08.6	15.840	15.786	-0.054	6.45023000	9003.0070	0.025	0.2760	52.30	160.10	0	ECL	-99.99	LMC111.4.22579	LMC503.23.91256	OGLE-LMC-ECL-10876
OGLE-LMC-HB-0158	RG	05:14:51.70	-69:35:22.3	15.812	17.310	1.498	394.99700000	9046.9000	0.050	0.3663	81.10	36.30	1	-99.99	LMC_SC9_291832	LMC112.4.85258	LMC503.14.69459	-99.99
OGLE-LMC-HB-0159	RG	05:15:04.69	-69:30:40.3	14.476	15.839	1.363	268.32900000	9244.8000	0.021	0.1238	65.00	58.80	0	-99.99	LMC_SC8_21352	LMC111.1.21424	LMC503.14.83048	-99.99
OGLE-LMC-HB-0160	RG	05:15:05.91	-69:21:07.8	16.265	17.651	1.386	255.70500000	9044.0000	0.047	0.3050	86.80	60.30	0	ECL	-99.99	LMC111.2.22931	LMC503.14.114582	OGLE-LMC-ECL-10992
OGLE-LMC-HB-0161	RG	05:15:33.10	-69:03:22.2	16.215	17.633	1.418	232.85200000	9222.1000	0.021	0.1400	63.00	38.80	1	-99.99	LMC_SC8_70594	LMC111.4.35042	LMC503.23.47687	-99.99
OGLE-LMC-HB-0162	RG	05:15:58.25	-69:19:30.3	15.543	16.679	1.136	295.19000000	9140.8000	0.014	0.2660	58.30	174.60	0	ECL	-99.99	LMC100.7.71417	LMC503.14.53789	OGLE-LMC-ECL-11356
OGLE-LMC-HB-0163	RG	05:16:13.36	-69:43:04.8	15.435	17.128	1.693	425.97000000	9410.8000	0.032	0.2440	65.60	52.10	1	-99.99	LMC_SC8_95352	LMC103.6.53292	LMC503.06.25387	OGLE-LMC-ECL-11458
OGLE-LMC-HB-0164	MS	05:16:17.98	-67:13:45.5	15.543	15.386	-0.157	4.72010000	9002.5600	0.014	0.3500	40.00	150.00	0	ECL	-99.99	-99.99	LMC505.06.12632	OGLE-LMC-ECL-31109
OGLE-LMC-HB-0165	RG	05:16:22.30	-69:02:37.0	15.748	17.313	1.565	514.41000000	9298.0000	0.036	0.4370	63.30	161.90	1	-99.99	LMC_SC8_254091	LMC100.5.99	LMC503.23.47709	-99.99
OGLE-LMC-HB-0166	RG	05:16:25.23	-67:53:01.8	15.931	17.402	1.471	482.86000000	9287.8000	0.030	0.5130	65.70	65.60	1	-99.99	-99.99	LMC102.5.50	LMC504.23.18072	OGLE-LMC-ECL-11523
OGLE-LMC-HB-0167	MS	05:16:25.41	-69:28:55.2	15.065	15.312	0.247	242.67000000	9056.6000	0.038	0.1520	21.32	22.30	0	OSARG/ECL	LMC_SC8_211874	LMC100.8.138	LMC503.13.85800	[BE74] 232
OGLE-LMC-HB-0168	RG	05:16:26.75	-67:38:55.1	15.371	17.110	1.739	495.61000000	9216.1000	0.046	0.3780	89.00	102.90	1	OSARG	-99.99	-99.99	LMC504.31.3862	MACHO 16.5887.21
OGLE-LMC-HB-0169	RG	05:16:28.67	-69:31:25.8	15.916	17.361	1.445	237.80800000	9095.7000	0.029	0.2690	49.00	178.10	1	-99.99	LMC_SC8_205189	LMC100.8.322	LMC503.13.85866	MACHO 78.5859.195
OGLE-LMC-HB-0170	RG	05:16:28.67	-68:59:27.9	15.644	17.288	1.644	413.19000000	9189.3000	0.035	0.2990	67.90	64.70	1	-99.99	LMC_SC8_259609	LMC100.5.64296	-99.99	-99.99
OGLE-LMC-HB-0171	RG	05:16:37.78	-69:30:39.5	14.203	15.642	1.439	468.38000000	9173.1000	0.025	0.4120	83.20	85.30	1	-99.99	LMC_SC8_205089	LMC100.8.17735	LMC503.13.85711	-99.99
OGLE-LMC-HB-0172	RG	05:16:51.00	-69:10:47.4	15.205	16.900	1.695	421.70100000	9329.1000	0.049	0.2682	61.40	104.00	1	OSARG	LMC_SC8_242661	LMC100.6.16855	LMC503.22.72076	2MASS J05165101-6910473
OGLE-LMC-HB-0173	RG	05:16:52.92	-69:00:50.4	15.945	17.496	1.551	277.49000000	9052.7000	0.039	0.1061	50.40	30.20	1	-99.99	LMC_SC8_259589	LMC100.5.79446	LMC503.22.103041	MACHO 79.5867.522
OGLE-LMC-HB-0174	RG	05:17:00.94	-69:57:47.7	16.193	17.712	1.519	328.43000000	9312.3000	0.023	0.2550	64.90	113.20	1	-99.99	-99.99	LMC103.7.10016	LMC502.30.61076	-99.99
OGLE-LMC-HB-0175	RG	05:17:11.89	-68:10:17.8	15.425	17.105	1.680	546.06000000	9252.7000	0.025	0.3880	69.40	0.30	1	-99.99	-99.99	LMC102.7.90	LMC504.13.33130	-99.99
OGLE-LMC-HB-0176	RG	05:17:15.36	-69:26:01.9	16.183	17.390	1.207	207.50700000	9106.6000	0.025	0.1370	88.80	124.50	1	-99.99	LMC_SC8_312333	LMC100.8.91732	LMC503.13.36147	MACHO 78.5981.185
OGLE-LMC-HB-0177	RG	05:17:16.42	-70:37:34.4	15.344	17.033	1.689	613.02000000	9121.4000	0.053	0.3860	76.30	60.80	1	-99.99	-99.99	LMC104.8.33810	LMC502.13.11936	-99.99
OGLE-LMC-HB-0178	RG	05:17:18.58	-70:33:24.1	15.765	17.267	1.502	313.41000000	9177.1000	0.024	0.3250	55.50	135.00	1	-99.99	-99.99	LMC104.7.15777	LMC502.13.18496	-99.99
OGLE-LMC-HB-0179	RG	05:17:18.82	-70:37:08.5	15.126	16.635	1.509	469.90000000	9036.8000	0.030	0.3330	65.50	63.20	1	-99.99	-99.99	LMC104.8.40822	LMC502.13.11938	EROS2-star lm057-0k-24951
OGLE-LMC-HB-0180	RG	05:17:24.62	-67:01:49.0	16.338	17.613	1.275	247.08000000	9109.1000	0.045	0.4320	72.20	52.40	0	ECL	-99.99	-99.99	LMC505.13.156	OGLE-LMC-ECL-31330
OGLE-LMC-HB-0181	RG	05:17:30.16	-69:31:03.6	15.381	17.128	1.747	462.72000000	9242.2000	0.033	0.1327	55.90	43.30	1	OSARG	LMC_SC7_47323	LMC100.8.36044	LMC503.13.17215	-99.99
OGLE-LMC-HB-0182	RG	05:17:38.08	-69:48:48.4	15.467	17.036	1.569	297.17900000	9037.2000	0.054	0.3188	68.90	145.50	1	-99.99	LMC_SC7_6479	LMC103.6.24693	LMC503.05.11227	-99.99
OGLE-LMC-HB-0183	RG	05:17:39.85	-69:10:57.6	15.517	17.151	1.634	392.50000000	9384.9000	0.018	0.1650	58.50	176.60	1	-99.99	LMC_SC7_86345	LMC100.6.34065	LMC503.22.14206	-99.99
OGLE-LMC-HB-0184	RG	05:17:43.36	-70:30:26.1	15.694	17.294	1.600	381.13000000	9017.2000	0.030	0.2410	62.40	164.90	1	-99.99	-99.99	LMC104.7.46890	LMC502.22.41	-99.99
OGLE-LMC-HB-0185	MS	05:17:44.82	-69:37:39.6	16.482	16.925	0.443	31.19359000	9004.5840	0.185	0.5672	64.50	73.60	0	ECL	LMC_SC7_30350	LMC103.5.30548	-99.99	OGLE-LMC-ECL-12035
OGLE-LMC-HB-0186	MS	05:17:45.07	-69:43:16.7	14.136	14.044	-0.092	12.64554000	9008.8270	0.018	0.4820	35.30	131.30	1	-99.99	-99.99	LMC103.6.78707	LMC503.05.26668	-99.99
OGLE-LMC-HB-0187	RG	05:17:46.33	-69:29:09.2	15.233	16.897	1.664	458.97600000	9235.8000	0.059	0.3264	56.50	100.70	1	OSARG	LMC_SC7_47362	LMC100.8.36081	LMC503.13.17252	OGLE-LMC-ECL-12055
OGLE-LMC-HB-0188	RG	05:18:10.17	-70:21:11.9	15.538	17.213	1.675	392.97500000	9295.4000	0.057	0.3166	59.10	25.90	1	-99.99	-99.99	LMC104.6.49474	LMC502.21.43786	-99.99
OGLE-LMC-HB-0189	RG	05:18:14.67	-70:37:51.4	16.133	17.600	1.467	276.30000000	9221.2000	0.030	0.2720	58.20	114.60	1	-99.99	-99.99	LMC104.8.48049	LMC502.12.36222	-99.99
OGLE-LMC-HB-0190	RG	05:18:15.62	-70:07:16.7	15.871	17.357	1.486	269.91600000	9072.0000	0.057	0.2999	89.10	141.50	1	ECL	-99.99	LMC103.8.15850	LMC502.29.50438	-99.99
OGLE-LMC-HB-0191	RG	05:18:18.74	-69:07:51.2	15.566	17.320	1.754	462.61000000	9094.4000	0.028	0.1760	67.80	67.30	1	-99.99	-99.99	LMC100.6.119403	LMC503.21.89773	-99.99
OGLE-LMC-HB-0192	RG	05:18:19.06	-70:17:42.6	15.768	17.222	1.454	795.53000000	9549.9000	0.024	0.5590	68.00	72.50	1	-99.99	-99.99	LMC104.6.57561	LMC502.21.51427	-99.99
OGLE-LMC-HB-0193	RG	05:18:34.47	-69:45:33.0	15.609	16.960	1.351	279.61600000	9116.6000	0.045	0.2272	63.10	16.00	1	-99.99	LMC_SC7_126920	LMC103.6.93463	LMC503.04.92343	-99.99
OGLE-LMC-HB-0194	MS	05:18:39.70	-69:32:35.6	15.515	15.412	-0.103	11.95267000	9005.8800	0.025	0.5110	31.70	5.00	0	ECL	-99.99	LMC100.8.54192	LMC503.12.73694	OGLE-LMC-ECL-12444
OGLE-LMC-HB-0195	RG	05:18:49.01	-69:38:19.3	15.664	17.466	1.802	530.79000000	9130.3000	0.036	0.3339	63.80	177.70	1	-99.99	LMC_SC7_262916	LMC103.5.47365	LMC503.04.109567	-99.99
OGLE-LMC-HB-0196	RG	05:18:51.09	-70:02:42.2	15.995	17.468	1.473	420.02000000	9161.9000	0.015	0.2070	60.00	44.10	1	-99.99	-99.99	LMC103.8.58342	LMC502.29.60649	-99.99
OGLE-LMC-HB-0197	RG	05:18:52.05	-69:29:51.1	16.511	18.023	1.512	232.87400000	9023.0000	0.034	0.1810	59.00	46.20	1	-99.99	LMC_SC7_286794	LMC100.8.54592	LMC503.12.89757	-99.99
OGLE-LMC-HB-0198	RG	05:18:55.86	-69:26:17.7	15.881	17.598	1.717	313.26000000	9182.2000	0.027	0.1870	81.70	62.20	1	-99.99	LMC_SC7_295270	LMC100.8.129527	LMC503.12.108171	-99.99
OGLE-LMC-HB-0199	RG	05:19:03.69	-69:39:16.6	15.426	17.174	1.748	397.70700000	9057.5000	0.098	0.3219	89.60	88.70	1	OSARG	LMC_SC7_262889	LMC103.5.47406	LMC503.04.49614	-99.99
OGLE-LMC-HB-0200	RG	05:19:04.48	-69:19:05.4	15.001	16.580	1.579	439.93000000	9049.4000	0.045	0.2270	60.50	123.10	1	-99.99	LMC_SC7_311552	LMC100.2.71081	LMC503.12.57540	2MASS J05190448-6919053
OGLE-LMC-HB-0201	RG	05:19:14.04	-69:51:17.2	15.028	15.887	0.859	98.56960000	9046.3700	0.034	0.2899	66.70	150.40	1	-99.99	LMC_SC7_239705	LMC103.2.50765	LMC503.04.13750	-99.99
OGLE-LMC-HB-0202	RG	05:19:14.72	-69:52:37.0	15.683	17.139	1.456	279.81000000	9052.6000	0.042	0.3076	63.40	146.90	1	ECL	-99.99	LMC103.2.50842	LMC503.04.192	-99.99
OGLE-LMC-HB-0203	RG	05:19:19.74	-69:39:56.3	15.663	17.329	1.666	583.24000000	9055.7000	0.051	0.4926	57.50	139.40	1	-99.99	LMC_SC7_262876	LMC103.4.131	LMC503.04.49587	-99.99
OGLE-LMC-HB-0204	RG	05:19:26.38	-70:19:12.0	16.505	17.815	1.310	165.76500000	9159.4000	0.031	0.3010	88.80	71.60	1	-99.99	-99.99	LMC104.3.37420	LMC502.21.14472	-99.99
OGLE-LMC-HB-0205	RG	05:19:27.36	-69:14:35.9	15.570	17.089	1.519	327.31300000	9200.8300	0.106	0.3002	60.54	163.43	0	-99.99	LMC_SC7_318622	LMC100.3.59	LMC503.21.86	2MASS J05192735-6914358
OGLE-LMC-HB-0206	RG	05:19:37.74	-70:01:25.0	15.476	17.022	1.546	437.99000000	9079.7000	0.017	0.3820	45.60	11.00	1	-99.99	-99.99	LMC103.1.38344	LMC502.29.19234	-99.99
OGLE-LMC-HB-0207	MS	05:19:38.32	-69:39:04.7	15.920	15.813	-0.107	6.70987600	9002.6830	0.037	0.3800	57.40	41.80	1	TEO	LMC_SC7_380073	LMC103.4.182	LMC503.04.49620	-99.99
OGLE-LMC-HB-0208	RG	05:19:42.50	-68:15:47.6	15.691	17.291	1.600	792.11000000	9629.7000	0.042	0.5650	63.10	57.80	1	TEO	-99.99	LMC102.1.67	LMC504.12.5752	OGLE-LMC-ECL-31802
OGLE-LMC-HB-0209	RG	05:20:03.15	-69:22:56.3	15.219	16.785	1.566	349.88400000	9231.1000	0.048	0.2642	59.50	109.20	1	TEO	LMC_SC6_93671	LMC100.2.18944	LMC503.11.107564	EROS2-star lm001-0l-26945
OGLE-LMC-HB-0210	RG	05:20:13.39	-69:22:53.2	15.266	16.730	1.464	454.63100000	9117.2000	0.074	0.4211	69.50	165.90	1	-99.99	LMC_SC6_93672	LMC100.2.18964	LMC503.11.107565	-99.99
OGLE-LMC-HB-0211	RG	05:20:14.61	-70:40:48.8	16.134	17.718	1.584	365.42000000	9154.8000	0.030	0.3420	63.80	59.20	1	-99.99	LMC_SC21_12034	LMC104.1.6265	LMC502.11.36170	-99.99
OGLE-LMC-HB-0212	RG	05:20:36.07	-70:00:46.4	14.477	15.847	1.370	319.01100000	9253.4000	0.033	0.1852	70.80	48.60	1	-99.99	LMC_SC6_5613	LMC103.1.48680	LMC502.28.64396	MACHO 78.6457.22
OGLE-LMC-HB-0213	RG	05:20:40.74	-70:49:42.8	16.227	17.510	1.283	207.73600000	9001.9000	0.041	0.3030	59.60	148.70	1	-99.99	LMC_SC21_57061	LMC105.4.6030	LMC502.11.24933	-99.99
OGLE-LMC-HB-0214	RG	05:20:42.24	-69:57:02.3	14.609	15.366	0.757	168.41300000	9116.0600	0.026	0.4170	41.10	85.40	1	-99.99	LMC_SC6_135678	LMC103.2.12596	LMC502.28.76914	-99.99
OGLE-LMC-HB-0215	RG	05:20:43.72	-69:21:29.8	15.444	16.719	1.275	256.65100000	9216.8000	0.021	0.4860	51.90	98.10	1	-99.99	LMC_SC6_214266	LMC100.2.19021	LMC503.11.125728	-99.99
OGLE-LMC-HB-0216	RG	05:20:47.82	-69:12:01.3	15.738	17.310	1.572	443.99000000	9008.0000	0.049	0.4102	81.30	114.70	1	-99.99	LMC_SC6_236324	LMC100.3.32386	LMC503.20.14015	-99.99
OGLE-LMC-HB-0217	RG	05:20:49.54	-69:22:12.3	15.215	16.888	1.673	591.75000000	9086.7000	0.032	0.1842	65.80	32.50	1	-99.99	LMC_SC6_214258	LMC100.2.38010	LMC503.11.56578	2MASS J05204953-6922122
OGLE-LMC-HB-0218	RG	05:20:58.01	-70:22:17.5	15.962	17.454	1.492	318.50000000	9067.5000	0.030	0.1990	53.40	2.70	1	-99.99	LMC_SC21_78340	LMC104.3.17708	LMC502.20.15011	-99.99
OGLE-LMC-HB-0219	RG	05:21:04.06	-70:38:49.8	15.495	17.227	1.732	615.76000000	9031.5000	0.048	0.4115	53.20	123.60	1	OSARG	LMC_SC21_63938	LMC104.1.39277	LMC502.11.11969	-99.99
OGLE-LMC-HB-0220	RG	05:21:18.34	-69:15:38.6	15.214	16.880	1.666	312.88100000	9123.1300	0.115	0.2887	60.95	46.71	0	OSARG	LMC_SC6_229549	LMC100.2.106729	LMC503.20.64	EROS2-star lm001-0n-8183
OGLE-LMC-HB-0221	RG	05:21:21.36	-69:43:44.5	15.165	17.019	1.854	471.69000000	9297.2000	0.042	0.1695	61.70	150.70	1	TEO	LMC_SC6_280450	LMC103.3.95230	LMC503.03.29568	OGLE-LMC-LPV-44996
OGLE-LMC-HB-0222	RG	05:21:31.21	-69:21:54.4	15.813	17.990	2.177	301.41300000	9284.9000	0.034	0.2650	46.40	119.50	1	-99.99	LMC_SC6_330210	LMC100.2.38075	LMC503.11.56661	-99.99
OGLE-LMC-HB-0223	RG	05:21:36.96	-69:37:31.6	15.110	16.710	1.600	437.51000000	9090.3000	0.055	0.1639	88.60	116.50	1	TEO	LMC_SC6_287490	LMC103.4.33118	-99.99	-99.99
OGLE-LMC-HB-0224	RG	05:21:53.51	-69:30:55.8	14.751	15.633	0.882	107.17710000	9083.5800	0.077	0.3067	53.30	37.30	1	-99.99	LMC_SC6_304939	LMC100.1.57473	LMC503.10.80490	-99.99
OGLE-LMC-HB-0225	MS	05:22:00.08	-69:35:10.3	15.801	15.976	0.175	13.73925000	9005.0900	0.039	0.2210	38.30	2.90	1	-99.99	-99.99	LMC103.4.118944	LMC503.10.64959	-99.99
OGLE-LMC-HB-0226	RG	05:22:13.10	-69:51:00.3	14.452	15.711	1.259	668.85000000	9282.4000	0.022	0.4250	61.50	54.70	1	-99.99	LMC_SC6_384087	LMC103.2.91876	LMC503.02.78433	-99.99
OGLE-LMC-HB-0227	RG	05:22:13.34	-69:03:30.0	15.177	16.987	1.810	615.84000000	9214.2000	0.051	0.4049	63.20	146.10	1	-99.99	-99.99	LMC100.4.44640	LMC503.19.86426	-99.99
OGLE-LMC-HB-0228	RG	05:22:53.07	-70:11:13.2	15.380	16.912	1.532	708.63000000	9436.5000	0.024	0.4080	49.00	129.90	1	-99.99	-99.99	LMC163.5.60903	LMC502.27.32	-99.99
OGLE-LMC-HB-0229	RG	05:22:55.17	-70:38:46.5	15.362	16.951	1.589	459.92000000	9001.6000	0.038	0.3650	88.70	134.90	1	-99.99	-99.99	LMC163.8.32225	LMC502.10.12414	-99.99
OGLE-LMC-HB-0230	MS	05:23:01.75	-67:58:27.3	14.623	14.492	-0.131	15.10097000	9001.8000	0.018	0.6620	29.00	7.00	0	ECL	-99.99	LMC159.6.45	LMC504.19.3921	OGLE-LMC-ECL-14264
OGLE-LMC-HB-0231	RG	05:23:05.99	-69:16:49.5	15.180	16.831	1.651	1033.82000000	9888.0000	0.066	0.5746	60.60	31.90	1	TEO	LMC_SC5_106186	LMC161.7.72857	LMC503.19.43	-99.99
OGLE-LMC-HB-0232	RG	05:23:07.88	-70:34:26.7	16.699	17.942	1.243	111.72390000	9098.4200	0.076	0.2023	65.00	67.00	1	-99.99	-99.99	LMC163.7.122	LMC502.10.19733	OGLE-LMC-ECL-14311
OGLE-LMC-HB-0233	RG	05:23:15.68	-69:23:07.6	15.414	16.909	1.495	462.86000000	9225.9000	0.022	0.2930	45.50	88.50	1	-99.99	-99.99	LMC161.7.16279	LMC503.10.34220	MACHO 78.6950.1337
