# ID	Type	RA	Decl	I	V	V_I	P	T0	A	Ecc	Incl	Peri	Model	Var	ID_OGLE_II	ID_OGLE_III	ID_OGLE_IV	ID_OTHER
OGLE-LMC-HB-0027	MS	04:54:58.19	-67:38:02.0	16.177	16.108	-0.069	6.45144500	9004.7560	0.028	0.3280	48.20	59.90	0	ECL	-99.99	LMC132.8.13249	LMC532.28.22811	OGLE-LMC-ECL-27523
OGLE-LMC-HB-0028	RG	04:55:08.93	-67:35:27.0	14.292	15.669	1.377	636.65000000	9517.1000	0.028	0.4940	56.50	3.00	1	-99.99	-99.99	LMC132.2.3	LMC532.28.27326	-99.99
OGLE-LMC-HB-0029	RG	04:55:31.17	-72:35:18.9	14.872	16.631	1.759	433.04000000	9097.8000	0.072	0.2954	69.20	96.60	1	-99.99	-99.99	-99.99	LMC507.16.33	EROS2-star lm067-4m-6381
OGLE-LMC-HB-0030	MS	04:55:31.22	-69:28:05.5	16.516	16.656	0.140	395.06700000	9386.9000	0.097	0.4619	35.15	35.40	0	ECL	-99.99	LMC135.1.25511	LMC531.10.36227	-99.99
OGLE-LMC-HB-0031	RG	04:55:44.26	-68:42:39.5	15.641	17.281	1.640	496.03000000	9267.5000	0.045	0.3979	62.30	174.20	1	-99.99	-99.99	LMC134.2.33954	LMC531.27.57392	-99.99
OGLE-LMC-HB-0032	MS	04:55:47.83	-69:28:09.0	13.965	13.923	-0.042	31.08959500	9013.0210	0.248	0.7434	89.90	90.00	0	ECL	-99.99	LMC135.1.30322	LMC531.10.36099	OGLE-LMC-ECL-03133
OGLE-LMC-HB-0033	RG	04:55:50.19	-70:01:55.1	15.544	17.149	1.605	622.84000000	9177.8000	0.079	0.5506	88.50	70.50	1	ECL	-99.99	LMC128.8.19813	LMC530.26.25958	OGLE-LMC-ECL-03149
OGLE-LMC-HB-0034	RG	04:55:56.62	-66:56:12.4	15.050	16.604	1.554	537.06000000	9385.5000	0.033	0.4450	59.90	36.50	1	-99.99	-99.99	LMC131.2.50	LMC533.11.22828	OGLE-LMC-ECL-27647
OGLE-LMC-HB-0035	RG	04:56:36.66	-72:20:49.8	15.512	17.030	1.518	242.59400000	9083.6000	0.090	0.2296	52.20	68.10	1	-99.99	-99.99	-99.99	LMC507.24.22	2MASS J04563665-7220498
OGLE-LMC-HB-0036	RG	04:56:43.27	-69:34:15.7	15.542	17.079	1.537	271.60600000	9080.9000	0.056	0.2181	51.00	72.10	1	OSARG	-99.99	LMC128.5.31659	LMC531.10.24	OGLE-LMC-ECL-03512
OGLE-LMC-HB-0037	RG	04:56:48.72	-70:21:19.9	15.462	16.939	1.477	392.56000000	9028.4000	0.026	0.4580	44.00	4.10	1	-99.99	-99.99	LMC129.6.18547	LMC530.18.8028	-99.99
OGLE-LMC-HB-0038	MS	04:56:58.69	-66:23:22.3	15.375	15.368	-0.007	4.18476000	9000.0500	0.014	0.2880	34.80	13.00	0	ECL	-99.99	-99.99	LMC533.28.4396	2MASS J04565868-6623224
OGLE-LMC-HB-0039	RG	04:57:00.00	-69:19:56.1	14.914	16.301	1.387	356.35000000	9030.3000	0.021	0.2960	45.70	17.80	1	-99.99	-99.99	LMC127.7.56	LMC531.09.50649	-99.99
OGLE-LMC-HB-0040	RG	04:57:04.02	-70:57:40.6	15.628	17.099	1.471	327.99000000	9087.6000	0.021	0.2470	67.00	133.90	0	-99.99	-99.99	LMC130.6.13839	LMC508.25.10629	-99.99
OGLE-LMC-HB-0041	RG	04:57:04.70	-72:16:49.8	14.373	15.932	1.559	354.75000000	9277.8000	0.049	0.1640	65.00	35.60	1	-99.99	-99.99	-99.99	LMC507.24.10	-99.99
OGLE-LMC-HB-0042	RG	04:57:10.25	-70:58:22.9	15.598	17.160	1.562	575.54000000	9472.2000	0.039	0.5020	56.20	59.40	1	-99.99	-99.99	LMC130.6.13841	LMC508.25.10623	-99.99
OGLE-LMC-HB-0043	MS	04:57:17.07	-69:40:01.4	16.231	16.197	-0.034	8.54268000	9003.6400	0.022	0.4400	42.60	127.30	0	ECL	-99.99	LMC128.5.5858	LMC531.01.45685	OGLE-LMC-ECL-03748
OGLE-LMC-HB-0044	RG	04:57:18.38	-69:19:16.6	15.056	16.631	1.575	694.34000000	9163.3000	0.033	0.5110	63.00	139.00	1	TEO	-99.99	LMC127.7.8481	LMC531.09.50669	-99.99
OGLE-LMC-HB-0045	MS	04:57:26.09	-69:26:26.3	15.876	15.832	-0.044	4.78841100	9001.2240	0.022	0.2900	52.90	6.00	0	ECL	-99.99	LMC127.8.34170	LMC531.09.42317	OGLE-LMC-ECL-03811
OGLE-LMC-HB-0046	MS	04:57:49.48	-70:12:15.5	14.102	14.195	0.093	43.51870000	9028.8000	0.076	0.4210	19.00	77.80	1	-99.99	-99.99	LMC129.5.19448	LMC509.16.3	-99.99
OGLE-LMC-HB-0047	RG	04:57:51.99	-69:38:22.0	15.817	17.340	1.523	322.17000000	9101.1000	0.032	0.1860	89.90	127.70	1	-99.99	-99.99	LMC128.5.12118	LMC509.25.22191	-99.99
OGLE-LMC-HB-0048	RG	04:58:18.44	-72:53:06.7	15.061	16.830	1.769	444.50000000	9043.6000	0.075	0.3103	60.40	13.10	1	-99.99	-99.99	-99.99	LMC507.06.48	EROS2-star lm067-5l-26764
OGLE-LMC-HB-0049	RG	04:58:30.60	-70:44:55.8	16.122	17.464	1.342	394.20000000	9128.8000	0.024	0.4400	58.30	28.80	1	-99.99	-99.99	LMC130.4.77	LMC508.32.133	-99.99
OGLE-LMC-HB-0050	MS	04:59:00.97	-69:09:44.4	17.114	17.735	0.621	12.88226000	9001.2840	0.111	0.2045	81.00	25.30	0	ECL	-99.99	LMC127.6.53509	LMC531.17.42250	OGLE-LMC-ECL-04417
OGLE-LMC-HB-0051	RG	04:59:44.84	-69:48:18.4	15.349	16.610	1.261	342.27300000	9221.0000	0.050	0.3072	55.00	4.80	1	-99.99	-99.99	LMC128.3.58	LMC509.24.113	-99.99
OGLE-LMC-HB-0052	RG	04:59:45.09	-68:21:17.1	15.984	17.364	1.380	209.46000000	9061.3000	0.024	0.2830	31.00	158.70	1	-99.99	-99.99	LMC125.8.11290	LMC532.08.24428	-99.99
OGLE-LMC-HB-0053	RG	04:59:46.64	-70:29:48.1	14.374	15.986	1.612	615.11000000	9551.1000	0.039	0.4540	50.30	46.60	1	OSARG	-99.99	LMC129.2.26	LMC509.07.10	-99.99
OGLE-LMC-HB-0054	RG	04:59:52.29	-69:14:19.8	15.928	17.306	1.378	251.51000000	9114.8500	0.032	0.6880	27.90	84.30	0	-99.99	-99.99	LMC127.3.70	LMC531.17.98	-99.99
OGLE-LMC-HB-0055	RG	05:00:22.48	-70:07:38.1	16.057	17.371	1.314	197.29600000	9175.2000	0.032	0.3030	31.60	155.80	1	-99.99	-99.99	LMC128.1.5546	LMC509.15.281	[O96] D050NE-67
OGLE-LMC-HB-0056	RG	05:00:22.72	-69:20:34.9	16.517	17.988	1.471	191.79000000	9097.6000	0.044	0.2370	59.70	133.70	1	-99.99	-99.99	LMC127.2.112	LMC509.32.23387	-99.99
OGLE-LMC-HB-0057	RG	05:00:36.25	-68:53:36.8	14.161	15.674	1.513	302.52100000	9184.4000	0.057	0.1530	66.10	128.60	1	-99.99	LMC_SC15_38588	LMC126.1.7	LMC510.15.58	OGLE BRIGHT-LMC-ECL-80
OGLE-LMC-HB-0058	RG	05:00:41.87	-67:57:49.6	15.889	17.404	1.515	209.44800000	9029.1000	0.047	0.1527	76.90	107.60	1	-99.99	-99.99	LMC125.3.23519	LMC532.17.3991	-99.99
OGLE-LMC-HB-0059	RG	05:00:53.23	-68:44:41.0	15.399	16.821	1.422	419.66000000	9386.2000	0.025	0.4070	62.70	129.00	1	-99.99	LMC_SC15_102777	LMC126.2.51	LMC510.15.41039	-99.99
OGLE-LMC-HB-0060	RG	05:01:40.52	-68:38:40.7	15.107	16.640	1.533	320.85000000	9136.7400	0.088	0.2758	56.19	152.80	1	-99.99	LMC_SC15_164995	LMC126.3.8382	LMC510.23.129	-99.99
OGLE-LMC-HB-0061	RG	05:01:43.68	-70:04:38.0	15.324	16.933	1.609	327.86800000	9124.7000	0.044	0.2680	32.86	167.20	1	OSARG	-99.99	LMC128.1.11830	LMC509.14.150	-99.99
OGLE-LMC-HB-0062	RG	05:01:46.92	-67:29:16.3	16.024	17.383	1.359	239.03000000	9059.4000	0.023	0.3050	50.90	141.10	1	-99.99	-99.99	LMC124.2.19471	LMC511.15.24099	-99.99
OGLE-LMC-HB-0063	RG	05:01:50.19	-66:42:49.5	15.021	16.652	1.631	380.97000000	9285.9000	0.045	0.2471	61.00	93.80	1	-99.99	-99.99	LMC123.4.52	LMC533.17.3575	-99.99
OGLE-LMC-HB-0064	RG	05:02:20.98	-69:39:23.1	15.058	16.808	1.750	526.11000000	9019.3000	0.042	0.3658	77.00	79.50	1	ECL	-99.99	LMC120.5.29	LMC509.23.25732	OGLE-LMC-ECL-05622
