# ID	Type	RA	Decl	I	V	V_I	P_1	dP_1	T0_1	A_1	R21_1	phi21_1	R31_1	phi31_1	ID_OGLE_II	ID_OGLE_III	ID_OGLE_IV	ID_OTHER	REMARKS
OGLE-LMC-DSCT-00031	singlemode	04:36:36.01	-66:48:15.3	20.693	21.072	0.379	0.05915865	0.00000004	7000.01462	0.384	0.544	4.062	0.000	-99.99	-99.99	LMC152.6.4647	LMC548.18.1119	-99.99	
OGLE-LMC-DSCT-00032	singlemode	04:36:40.09	-68:38:55.0	20.600	21.241	0.641	0.07040958	0.00000006	7000.00882	0.305	0.315	3.985	0.000	-99.99	-99.99	LMC155.3.7280	LMC539.23.2636	-99.99	
OGLE-LMC-DSCT-00033	singlemode	04:36:49.77	-70:16:00.8	20.130	20.565	0.435	0.07096596	0.00000004	7000.04258	0.303	0.427	3.883	0.000	-99.99	-99.99	LMC151.5.7088	LMC538.05.8269	-99.99	
OGLE-LMC-DSCT-00034	singlemode	04:36:50.56	-69:27:17.9	20.212	20.726	0.514	0.06983350	0.00000005	7000.01895	0.233	0.379	3.845	0.000	-99.99	-99.99	LMC156.1.8997	LMC538.30.1742	-99.99	
OGLE-LMC-DSCT-00035	singlemode	04:36:58.58	-68:12:33.5	19.776	20.281	0.505	0.08679874	0.00000007	7000.03807	0.183	0.385	4.362	0.000	-99.99	-99.99	LMC154.2.1146	LMC539.31.6038	-99.99	
OGLE-LMC-DSCT-00036	singlemode	04:37:00.81	-68:45:39.2	20.176	20.675	0.499	0.08494802	0.00000011	7000.03891	0.227	0.000	-99.99	0.000	-99.99	-99.99	LMC155.2.6180	LMC539.14.8120	-99.99	
OGLE-LMC-DSCT-00037	singlemode	04:37:06.98	-70:32:30.9	19.917	20.445	0.528	0.09051423	0.00000011	7000.08993	0.364	0.403	3.900	0.000	-99.99	-99.99	LMC151.7.5845	LMC537.28.2292D	-99.99	
OGLE-LMC-DSCT-00038	singlemode	04:37:07.88	-66:44:24.4	20.779	21.155	0.376	0.06443108	0.00000007	7000.00349	0.315	0.000	-99.99	0.000	-99.99	-99.99	LMC152.6.3957	LMC548.18.1716	-99.99	
OGLE-LMC-DSCT-00039	singlemode	04:37:11.15	-68:15:19.1	20.304	20.665	0.361	0.06592685	0.00000003	7000.01989	0.424	0.401	4.185	0.000	-99.99	-99.99	LMC154.1.1311	LMC539.31.1234	-99.99	
OGLE-LMC-DSCT-00040	singlemode	04:37:14.32	-67:16:00.6	20.515	20.952	0.437	0.08104342	0.00000006	7000.00230	0.376	0.392	4.211	0.000	-99.99	-99.99	LMC153.4.1185	LMC540.24.4023	-99.99	
