# ID	RA	Decl	I	V	V_I	pr_pl	P	tc	mstar	rstar	logg	teff	feh	distance	rp	mp	a	ideg	teq	delta	tau	t14	b	T0	ID_OGLE_II	ID_OGLE_III	ID_OGLE_IV
OGLE-TR-1026	04:55:45.15	-27:55:57.9	14.528	15.635	1.107	0.97	4.1195678569	5376.9341357206	0.9299	2.7554	3.526	6499.75	-3.01	1868.99	1.241	0.8152	0.049102	87.909	2347.89	0.002143	0.0165726	0.35957	0.14	7082.4352284921	-99.99	-99.99	BLG504.24.3792
OGLE-TR-1027	04:57:24.45	-29:11:39.3	14.785	16.199	1.414	0.82	2.6247957515	5261.4112345888	2.6289	3.585	3.749	5357.67	0.32	3136.67	1.865	169.555	0.052429	72.654	2136.33	0.002857	0.0490332	0.13427	0.938	6623.680229641	-99.99	-99.99	BLG505.23.138085
OGLE-TR-1028	04:59:09.90	-29:17:03.8	13.753	15.111	1.358	0.9	0.74714083	5376.758135349	0.9888	2.4658	3.649	4888.54	-0.03	1236.18	1.849	168.117	0.016879	50.971	2849.21	0.005936	0.0595005	0.119	0.927	6831.441331421	BUL_SC39.775073	BLG102.5.104759	BLG505.14.206335
OGLE-TR-1029	05:00:07.35	-28:49:24.8	15.194	16.4	1.206	1	2.5308886107	5261.7532353061	1.1171	1.0036	4.483	5884.61	0.26	1198.72	1.072	51.9985	0.038262	88.522	1453.31	0.012048	0.0111229	0.10741	0.211	6848.6203941968	-99.99	BLG205.6.72835	BLG505.31.111010
OGLE-TR-1030	05:01:18.30	-27:56:09.0	15.276	16.945	1.669	0.99	18.1874812627	5388.3533477248	1.564	2.2541	3.926	5803.47	0.5	2046.27	2.213	205.786	0.163426	87.273	1039.32	0.010178	0.0568141	0.30255	0.742	6625.1020735875	-99.99	-99.99	BLG504.23.90700
OGLE-TR-1031	05:02:55.05	-27:40:02.7	14.337	15.605	1.268	1	2.4201426845	5376.7440479966	1.0942	1.9693	3.889	5374.7	0.07	1358.69	0.989	65.7272	0.037034	85.739	1889.9	0.002662	0.0106362	0.19457	0.3	6402.8845462305	-99.99	-99.99	BLG504.31.16618
OGLE-TR-1032	05:04:14.40	-28:24:39.9	15.242	16.913	1.671	1	14.1654492757	5383.9708827678	1.3929	1.6766	4.133	5792.74	0.56	1605.3	2.203	0.414	0.127968	89.978	1011.07	0.01823	0.0371641	0.31207	0.006	7197.1483900533	-99.99	BLG214.7.113	BLG504.06.89625
OGLE-TR-1033	05:05:36.30	-29:10:17.1	15.296	16.933	1.637	1	17.9092053737	5381.5553728053	1.286	2.0278	3.933	7005.65	-0.63	2092.88	1.65	0.414	0.145696	88.546	1260.28	0.006992	0.0336327	0.37314	0.392	6903.8378295726	-99.99	BLG205.8.16767	BLG505.23.4234
OGLE-TR-1034	05:09:46.50	-27:36:45.3	15.194	16.986	1.792	0.98	5.404768409	5377.5249349042	0.764	1.4828	3.979	6440.55	-4.48	1436.49	2.116	0.4128	0.05511	84.61	1610.92	0.021512	0.0500181	0.18777	0.751	6626.0264373943	-99.99	-99.99	BLG504.30.63622
OGLE-TR-1035	05:10:42.60	-28:19:34.9	13.646	14.566	0.92	0.98	55.2742302707	5379.1730765267	1.6261	1.5249	4.283	7398.45	0.18	1211.31	1.731	0.414	0.333967	88.978	762.328	0.013611	0.0864273	0.27491	0.84	7369.0453662728	-99.99	BLG214.7.134311	BLG504.05.165839
