# ID	RA	Decl	I	V	V_I	pr_pl	P	tc	mstar	rstar	logg	teff	feh	distance	rp	mp	a	ideg	teq	delta	tau	t14	b	T0	ID_OGLE_II	ID_OGLE_III	ID_OGLE_IV
OGLE-TR-1084	06:49:38.70	-28:24:45.1	14.141	14.969	0.828	0.94	39.797232538	5402.3135448578	1.3526	1.2898	4.348	6434.77	0.32	1369.73	1.57	0.414	0.252308	89.116	701.549	0.015653	0.0500697	0.27679	0.649	6715.6222186112	BUL_SC32.346477	BLG216.2.23714	BLG512.21.36052
OGLE-TR-1085	06:50:20.85	-28:12:40.2	15.362	17.017	1.655	1	3.6367602453	5377.8363497439	0.5381	1.9529	3.588	4934.76	-2.47	1660.55	0.968	34.6951	0.038401	77.998	1696.96	0.002597	0.0307757	0.16167	0.879	5603.3154849494	-99.99	BLG216.3.158956	BLG512.29.12795
OGLE-TR-1086	06:54:47.25	-28:47:04.6	15.324	16.785	1.461	0.94	6.7032026472	5383.0917956382	1.0477	3.4192	3.39	4981.53	-0.23	2588.21	2.853	274.696	0.076127	78.927	1609.85	0.007352	0.131414	0.26283	0.92	7152.7372945026	BUL_SC32.469470	BLG207.3.183289	BLG512.11.136795
OGLE-TR-1087	06:56:32.40	-28:07:56.2	15.148	16.438	1.29	1	4.2431614124	5378.3644621791	1.0356	2.5472	3.641	4798.61	0.49	2489.45	2.067	190.449	0.05477	80.075	1577.99	0.006951	0.0420303	0.2186	0.797	7020.4679287686	-99.99	BLG216.4.42508	BLG512.28.145532
OGLE-TR-1088	06:56:52.35	-28:05:03.0	14.438	15.373	0.935	1	5.0748847199	5378.0552706458	0.8662	0.9615	4.41	5474.82	-0.11	958.933	1.173	2.9319	0.055151	89.712	1102.29	0.015704	0.0164993	0.14736	0.062	6758.4239144474	-99.99	BLG216.4.115772	BLG512.28.94568
OGLE-TR-1089	07:01:52.65	-28:41:30.5	14.961	16.088	1.127	1	51.089989897	5384.6456752	1.2343	1.2694	4.322	5905.17	0.54	1435.9	1.675	0.4033	0.289073	89.464	596.706	0.018376	0.0508105	0.34516	0.458	6355.3554832423	BUL_SC2.149422	BLG208.5.69562	BLG512.11.34995
OGLE-TR-1090	07:03:40.80	-28:20:22.9	14.24	14.918	0.678	1	6.5551615839	5376.6466078386	1.2448	2.1129	3.883	6107.25	-0.17	2242.77	1.538	135.933	0.076215	85.338	1550.59	0.005594	0.0262197	0.23543	0.63	6897.4440952945	BUL_SC35.218195	BLG217.7.130269	BLG512.19.221612
OGLE-TR-1091	07:04:33.90	-28:24:30.5	15.249	17.054	1.805	0.99	55.7451934208	5427.435522933	0.1486	0.9922	3.617	3634.27	-1.16	630.931	1.127	19.1021	0.157226	88.755	440.227	0.013636	0.09236	0.43544	0.741	7211.2817123998	-99.99	BLG217.7.8416	BLG512.19.213607
OGLE-TR-1092	07:05:57.60	-28:48:50.7	15.294	16.873	1.579	1	3.6601220402	5380.1722793607	0.9209	2.6543	3.554	4804.85	-0.17	2206.12	1.111	21.5551	0.045555	77.249	1768.55	0.00185	0.024451	0.21202	0.815	6635.5941391634	BUL_SC2.331765	BLG208.6.88265	BLG512.10.125916
OGLE-TR-1093	07:11:39.75	-28:57:20.9	14.756	16.523	1.767	0.98	1.4751321372	5377.2004014789	1.5684	3.5416	3.535	5271.8	-0.12	2579.32	4.514	462.583	0.032005	57.503	2674.14	0.017156	0.0630588	0.12612	1.044	6666.4658893635	BUL_SC2.684748	BLG208.7.168851	BLG512.02.43820
OGLE-TR-1094	07:12:21.30	-28:00:44.0	15.497	17.402	1.905	1	13.2004320363	5388.3986001844	0.9998	1.6192	4.019	4969.26	0.42	1399.91	1.645	0.414	0.109318	89.235	922.195	0.010906	0.0308889	0.31501	0.194	7038.4526047208	-99.99	BLG217.5.211192	BLG512.27.51709
OGLE-TR-1095	07:13:22.35	-28:13:33.0	15.239	17.21	1.971	0.9	0.7848213757	5377.277806147	0.8143	1.8615	3.809	6188.05	-1.67	3227.6	1.048	17.943	0.015658	60.355	3253.53	0.003349	0.0222728	0.09177	0.895	6680.0812898846	BUL_SC35.621045	BLG217.6.103009	BLG512.26.168423
OGLE-TR-1096	07:16:51.15	-28:15:56.6	15.446	17.249	1.803	1	3.4377549645	5377.2232889775	0.9868	3.5434	3.333	4542.62	0.24	2818.77	2.443	0.412	0.044386	89.877	1957.16	0.005018	0.0309994	0.44739	0.006	7116.7273010244	BUL_SC36.26433	BLG217.6.47780	BLG512.26.108037
OGLE-TR-1097	07:18:50.25	-28:08:47.3	15.128	16.745	1.617	0.9	10.7566238798	5385.3245795607	0.8283	0.8414	4.506	4641.29	0.48	634.884	0.984	69.4203	0.091887	88.15	677.265	0.014446	0.027589	0.12036	0.758	7074.1145286886	BUL_SC36.286700	BLG217.6.244576	BLG512.26.73306
OGLE-TR-1098	07:22:20.85	-28:15:28.8	15.372	16.404	1.032	0.93	5.8808380227	5379.1199306548	1.1015	1.3684	4.208	5884.39	0.11	2201.31	1.932	0.414	0.065858	85.602	1293.41	0.021044	0.0461178	0.1499	0.794	6961.065358764	BUL_SC36.258166	BLG217.3.236	BLG512.26.4943
OGLE-TR-1099	07:24:14.70	-28:28:27.6	15.369	17.213	1.844	1	10.4617853678	5376.9349288014	1.029	7.0361	2.756	4418.27	-0.15	4694.17	3.425	338.017	0.103505	73.392	1756.6	0.002503	0.134436	0.58968	0.904	6653.2727436735	BUL_SC33.541055	BLG217.1.173222	BLG512.17.175335
